"check_id","passed","detail"
"ten_data_rows",TRUE,"10"
"two_hundred_ten_fit_rows",TRUE,"210"
"method_row_counts",TRUE,"A 40;B0 40;pooled_bayesSYNC 10;R 120"
"seventy_two_audit_rows",TRUE,"72"
"unique_fit_and_audit_ids",TRUE,"fit_id and audit_id unique"
"all_formal_start_flags_false",TRUE,"generation/fit/continuation starts all FALSE"
"truth_isolation_flags_false",TRUE,"fit/stopping/selection/continuation truth flags all FALSE"
"seed_collision_contract",TRUE,"32;8;16;84"
"complete_source_inventory",TRUE,"source rows=50;multiFSYNC=28;bayesSYNC_ref=5"
"source_hash_self_check",TRUE,"verified=50/50"
"candidate_not_frozen_or_authorized",TRUE,"status=candidate;authorized=FALSE;frozen=FALSE"
"parent_history_present",TRUE,"parent files=22"
